#         time [s]      timestep [s]  temperature [T9]  density [g/cm^3]
    6.98082470E+02    6.99190751E-01    2.93113573E-01    8.12845188E+05
    6.98759094E+02    6.76624137E-01    2.94281121E-01    8.12025083E+05
    6.99414950E+02    6.55855790E-01    2.95467747E-01    8.11192073E+05
    7.00041437E+02    6.26487572E-01    2.96658760E-01    8.10359488E+05
    7.00652470E+02    6.11032499E-01    2.97902294E-01    8.09488144E+05
    7.01243517E+02    5.91047322E-01    2.99159974E-01    8.08605545E+05
    7.01820991E+02    5.77473756E-01    3.00441179E-01    8.07705495E+05
    7.02381521E+02    5.60530662E-01    3.01793060E-01    8.06756191E+05
    7.02909895E+02    5.28373602E-01    3.03119355E-01    8.05825970E+05
    7.03415370E+02    5.05475358E-01    3.04462072E-01    8.04883457E+05
    7.03898902E+02    4.83531334E-01    3.05835325E-01    8.03918379E+05
    7.04361103E+02    4.62200925E-01    3.07195825E-01    8.02964569E+05
    7.04750098E+02    3.88995469E-01    3.08438080E-01    8.02091377E+05
    7.05123857E+02    3.73759252E-01    3.09664424E-01    8.01231803E+05
    7.05490026E+02    3.66169054E-01    3.10934888E-01    8.00340493E+05
    7.05847177E+02    3.57150203E-01    3.12257557E-01    7.99411290E+05
    7.06194016E+02    3.46839460E-01    3.13547426E-01    7.98509945E+05
    7.06538399E+02    3.44382821E-01    3.15001339E-01    7.97485973E+05
    7.06867395E+02    3.28996080E-01    3.16398956E-01    7.96507156E+05
    7.07190231E+02    3.22835808E-01    3.17852215E-01    7.95488801E+05
    7.07502819E+02    3.12587914E-01    3.19391605E-01    7.94406535E+05
    7.07746067E+02    2.43248548E-01    3.20594679E-01    7.93565359E+05
    7.07983423E+02    2.37355532E-01    3.21806968E-01    7.92719151E+05
    7.08215730E+02    2.32307550E-01    3.23160647E-01    7.91766700E+05
    7.08438238E+02    2.22507740E-01    3.24462560E-01    7.90855501E+05
    7.08655020E+02    2.16781733E-01    3.25736014E-01    7.89968759E+05
    7.08868362E+02    2.13341940E-01    3.27055477E-01    7.89049278E+05
    7.09048439E+02    1.80077056E-01    3.28329161E-01    7.88153220E+05
    7.09219794E+02    1.71355383E-01    3.29545763E-01    7.87301506E+05
    7.09387304E+02    1.67509364E-01    3.30739415E-01    7.86469798E+05
    7.09553260E+02    1.65956345E-01    3.31926264E-01    7.85646667E+05
    7.09718853E+02    1.65592764E-01    3.33166146E-01    7.84786092E+05
    7.09882727E+02    1.63873958E-01    3.34620723E-01    7.83762256E+05
    7.10038090E+02    1.55363613E-01    3.36005624E-01    7.82792824E+05
    7.10190029E+02    1.51938519E-01    3.37365538E-01    7.81845923E+05
    7.10340970E+02    1.50941616E-01    3.38721979E-01    7.80906369E+05
    7.10492224E+02    1.51253749E-01    3.40086696E-01    7.79966004E+05
    7.10644589E+02    1.52365205E-01    3.41679169E-01    7.78853408E+05
    7.10773156E+02    1.28566743E-01    3.43172795E-01    7.77803437E+05
    7.10890181E+02    1.17025342E-01    3.44538013E-01    7.76848952E+05
    7.11003915E+02    1.13733732E-01    3.45870036E-01    7.75922436E+05
    7.11115403E+02    1.11487570E-01    3.47180750E-01    7.75015291E+05
    7.11225428E+02    1.10025115E-01    3.48479140E-01    7.74121086E+05
    7.11334599E+02    1.09171164E-01    3.49772253E-01    7.73234840E+05
    7.11443406E+02    1.08807009E-01    3.51106876E-01    7.72320699E+05
    7.11551717E+02    1.08310809E-01    3.52790943E-01    7.71141337E+05
    7.11655593E+02    1.03876362E-01    3.54413648E-01    7.70011951E+05
    7.11756510E+02    1.00917171E-01    3.55997273E-01    7.68916323E+05
    7.11855555E+02    9.90448778E-02    3.57558398E-01    7.67842538E+05
    7.11953569E+02    9.80135266E-02    3.59110007E-01    7.66781411E+05
    7.12051235E+02    9.76665874E-02    3.60662820E-01    7.65725498E+05
    7.12149143E+02    9.79072431E-02    3.62308077E-01    7.64603986E+05
    7.12246980E+02    9.78372175E-02    3.64298040E-01    7.63220335E+05
