#    time [s]          t9 [GK]          density [g/cc]
  3.7301000000e+02  2.2601400000e-01  8.5802600000e+05
  3.7388200000e+02  2.2606700000e-01  8.5799500000e+05
  3.7475400000e+02  2.2612000000e-01  8.5796900000e+05
  3.7562700000e+02  2.2617300000e-01  8.5793800000e+05
  3.7649900000e+02  2.2622600000e-01  8.5791300000e+05
  3.7737100000e+02  2.2627900000e-01  8.5788200000e+05
  3.7824300000e+02  2.2633200000e-01  8.5785600000e+05
  3.7911500000e+02  2.2638600000e-01  8.5782200000e+05
  3.7998800000e+02  2.2643900000e-01  8.5779700000e+05
  3.8086000000e+02  2.2649200000e-01  8.5776900000e+05
  3.8173200000e+02  2.2654600000e-01  8.5773700000e+05
  3.8260400000e+02  2.2660000000e-01  8.5770900000e+05
  3.8347700000e+02  2.2665300000e-01  8.5767800000e+05
